Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
2/20,5/20,2300,230000,52.29630708694458,2008.3919847011566,84.94878593832254,160.40997552871704,0.58
2/20,6/20,2350,235000,56.31020522117615,2193.638060450554,87.66849882900715,172.95147147029638,0.35
2/20,7/20,2400,240000,55.55737113952637,2381.1344537734985,94.17767615616322,174.78136866539717,0.6
2/20,8/20,2450,245000,58.94559192657471,2574.0542484521866,98.46423026919365,167.9499156475067,0.92
2/20,9/20,2500,250000,49.808521032333374,2637.5193963050842,100.95617120712996,171.55094434693456,0.93
2/20,10/20,2550,255000,53.33334302902222,2732.515415906906,102.97694947570562,163.1139975786209,0.92
2/20,11/20,2600,260000,65.23255205154419,2807.298511862755,103.75050834566355,169.36330927535892,0.97
2/20,12/20,2650,265000,54.07450771331787,2805.9183682203293,108.5578580275178,163.3050090484321,0.94
2/20,13/20,2700,270000,55.50400400161743,2833.568839430809,107.86173634976149,160.36509434878826,0.97
2/20,14/20,2750,275000,51.872036933898926,2856.5771664381027,107.34688457101583,154.7826771326363,0.98
2/20,15/20,2800,280000,64.91402792930603,2890.3761537075043,108.45535576343536,154.61731493473053,0.99
2/20,16/20,2850,285000,61.9713339805603,2912.747405529022,107.7203169092536,146.3669939674437,0.99
2/20,17/20,2900,290000,50.201178789138794,2938.0654220581055,107.12441101670265,145.81674625724554,0.92
2/20,18/20,2950,295000,52.111669063568115,2928.548321247101,108.73646498471498,141.66361665725708,0.97
2/20,19/20,3000,300000,52.057405948638916,2918.598914384842,109.03584007918835,133.44386368244886,0.96
3/20,0/20,3050,305000,56.62129783630371,2920.856621861458,109.93941674381495,141.63821157813072,0.94
3/20,1/20,3100,310000,58.089125871658325,2936.976346731186,111.22546649724245,134.50395441427827,0.98
3/20,2/20,3150,315000,53.57549476623535,2960.5952060222626,110.11183477193117,119.19693189486861,0.98
3/20,3/20,3200,320000,58.074174880981445,2975.7754187583923,110.47758109867573,124.22868597880006,0.94
