Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
7/20,16/20,7850,785000,71.33146595954895,2978.6432423591614,118.39692510664463,380.6973170787096,0.0
7/20,17/20,7900,790000,60.01779508590698,2982.411919593811,117.68677218258381,382.4680673778057,0.0
7/20,18/20,7950,795000,60.21721601486206,2972.143217921257,115.57856646925211,368.027157433331,0.0
7/20,19/20,8000,800000,72.76572322845459,2955.8218450546265,116.87785825133324,381.36868158727884,0.0
8/20,0/20,8050,805000,58.52893328666687,2971.8666434288025,115.83452919125557,407.97335854172707,0.0
8/20,1/20,8100,810000,70.67666029930115,2971.820914745331,117.81016652286053,383.13719660043716,0.0
8/20,2/20,8150,815000,66.48208713531494,2962.381510257721,117.64115998893976,392.9632217288017,0.0
8/20,3/20,8200,820000,59.488442182540894,2977.072165250778,118.52115202695131,378.8786393851042,0.0
8/20,4/20,8250,825000,56.39179182052612,2953.877997636795,120.66033496707678,377.6581159681082,0.0
8/20,5/20,8300,830000,67.96255111694336,2914.2639660835266,120.55781684815884,370.6009526848793,0.0
8/20,6/20,8350,835000,63.656437158584595,2912.2100751399994,118.96069045364857,369.32572907209396,0.0
8/20,7/20,8400,840000,62.619776010513306,2919.1860921382904,118.95380565524101,378.32104360312223,0.0
8/20,8/20,8450,845000,74.522864818573,2903.5487236976624,116.8806828930974,374.45345182716846,0.0
8/20,9/20,8500,850000,70.6228199005127,2899.246242761612,118.39449401199818,389.1827998161316,0.0
8/20,10/20,8550,855000,64.801198720932,2899.9644315242767,119.84745739400387,359.03215143829584,0.0
8/20,11/20,8600,860000,61.86012291908264,2888.028274655342,118.73309526592493,381.556598700583,0.0
8/20,12/20,8650,865000,57.10153675079346,2893.1237242221832,121.39535842090845,366.0998654291034,0.0
8/20,13/20,8700,870000,75.95353698730469,2871.170063495636,119.58753778785467,368.4941732957959,0.0
8/20,14/20,8750,875000,52.05275917053223,2888.7087898254395,120.92051883786917,372.07507196068764,0.0
8/20,15/20,8800,880000,67.34024596214294,2886.934190750122,120.0686286687851,395.38398841023445,0.0
8/20,16/20,8850,885000,53.505990743637085,2887.2531991004944,121.57715471088886,360.5647607371211,0.0
8/20,17/20,8900,890000,57.241455078125,2915.212057828903,121.82536845654249,406.80950309336185,0.0
8/20,18/20,8950,895000,60.14905023574829,2921.53209900856,123.3191886395216,412.4618012532592,0.0
8/20,19/20,9000,900000,57.042060136795044,2901.4889179468155,123.17438145726919,388.0653233677149,0.0
9/20,0/20,9050,905000,57.55226922035217,2913.845868587494,120.37781181931496,392.44760635495186,0.0
9/20,1/20,9100,910000,53.22123169898987,2939.0052769184113,121.17227505892515,396.6058195233345,0.0
9/20,2/20,9150,915000,54.381375789642334,2943.9089617729187,124.50203525274992,380.80817602574825,0.0
9/20,3/20,9200,920000,58.022294998168945,2921.671545624733,129.30423027276993,395.3485386148095,0.0
9/20,4/20,9250,925000,59.367128133773804,2911.9287598133087,125.64212734997272,388.98538506031036,0.0
9/20,5/20,9300,930000,57.0237512588501,2935.4623317718506,127.44947165250778,407.0824642330408,0.0
9/20,6/20,9350,935000,58.00291872024536,2947.222709417343,126.77687942236662,415.3011343181133,0.0
9/20,7/20,9400,940000,58.23501491546631,2971.00163602829,126.04342311620712,389.6811174750328,0.0
9/20,8/20,9450,945000,60.274352073669434,2998.7095127105713,125.51148966699839,404.7991483807564,0.0
9/20,9/20,9500,950000,68.04428267478943,3004.4280993938446,128.1965570151806,409.5202837139368,0.0
9/20,10/20,9550,955000,58.743521213531494,3014.598486185074,128.58814262598753,418.2518816366792,0.0
9/20,11/20,9600,960000,60.93868970870972,3054.4870586395264,128.7445568293333,398.2987669855356,0.0
9/20,12/20,9650,965000,62.55735492706299,3062.6199119091034,132.5290191322565,393.1747701764107,0.0
9/20,13/20,9700,970000,56.825175046920776,3073.9560449123383,132.9114552512765,413.97608533501625,0.0
9/20,14/20,9750,975000,60.71534013748169,3081.4466329813004,134.07799668610096,424.5734865218401,0.0
9/20,15/20,9800,980000,59.38486194610596,3093.2220816612244,136.13674791157246,429.9662971794605,0.0
9/20,16/20,9850,985000,61.645838260650635,3123.717607021332,134.16671090573072,429.1172769665718,0.0
9/20,17/20,9900,990000,56.89991021156311,3125.030448913574,138.16869052499533,429.24165293574333,0.0
9/20,18/20,9950,995000,68.55694794654846,3125.444707632065,140.7018836736679,451.49021880328655,0.0
9/20,19/20,10000,1000000,63.148515939712524,3143.5487730503082,142.38834330439568,447.25432800501585,0.0
10/20,0/20,10050,1005000,67.85290431976318,3157.9424645900726,141.2649751007557,479.4281323701143,0.0
10/20,1/20,10100,1010000,65.46310901641846,3173.1134254932404,142.70631973445415,495.7444490939379,0.0
10/20,2/20,10150,1015000,58.4093759059906,3192.011995792389,143.81392864137888,465.76131135225296,0.0
10/20,3/20,10200,1020000,65.79301619529724,3207.6489477157593,144.67078268527985,489.5717084556818,0.0
10/20,4/20,10250,1025000,63.20028114318848,3197.2471640110016,147.82056581228971,453.25382690131664,0.0
10/20,5/20,10300,1030000,64.9697196483612,3176.3907911777496,149.14833112061024,461.5400127917528,0.0
10/20,6/20,10350,1035000,71.72118592262268,3138.394870996475,150.442128688097,461.36355324834585,0.0
10/20,7/20,10400,1040000,64.2817919254303,3150.982581615448,151.13095282018185,482.2822821289301,0.0
10/20,8/20,10450,1045000,66.63810610771179,3177.2756192684174,148.84805245697498,482.8262335509062,0.0
10/20,9/20,10500,1050000,61.914326906204224,3182.0509164333344,149.96035332977772,467.77850726246834,0.0
10/20,10/20,10550,1055000,62.79221558570862,3190.562856912613,148.49210104346275,465.39473992586136,0.0
10/20,11/20,10600,1060000,64.66056895256042,3168.6139434576035,151.05546501278877,479.0248664319515,0.0
10/20,12/20,10650,1065000,62.8597309589386,3188.1367111206055,152.66692977398634,476.4758761227131,0.0
10/20,13/20,10700,1070000,58.816670179367065,3213.608143210411,153.76390181481838,445.52961069345474,0.0
10/20,14/20,10750,1075000,53.59200692176819,3228.4045827388763,153.79798762500286,473.0280780494213,0.0
10/20,15/20,10800,1080000,57.12533116340637,3258.5262880325317,151.006266400218,477.1777437776327,0.0
10/20,16/20,10850,1085000,70.76308608055115,3313.9232296943665,155.91502264887094,460.7357515692711,0.0
10/20,17/20,10900,1090000,72.89626979827881,3296.493037700653,159.37073747813702,522.4612944275141,0.0
10/20,18/20,10950,1095000,63.32728695869446,3334.4168314933777,159.21309080719948,501.28753527998924,0.0
10/20,19/20,11000,1100000,70.53475284576416,3307.8432397842407,158.97265921533108,484.47150722146034,0.0
11/20,0/20,11050,1105000,71.54609727859497,3341.535262107849,161.13602975010872,477.8850957006216,0.0
11/20,1/20,11100,1110000,64.02057385444641,3331.5652318000793,165.0217154622078,510.98725670576096,0.0
11/20,2/20,11150,1115000,67.34421181678772,3336.490738630295,167.55783972144127,517.4854730516672,0.0
11/20,3/20,11200,1120000,67.28557705879211,3350.9026877880096,163.48698200285435,489.3709709495306,0.0
11/20,4/20,11250,1125000,70.26512098312378,3363.089743614197,165.47730819880962,490.59346809983253,0.0
11/20,5/20,11300,1130000,71.35299301147461,3321.0756697654724,166.92315791547298,487.4897563755512,0.0
11/20,6/20,11350,1135000,64.16471409797668,3364.702981233597,168.2803960442543,484.6826479434967,0.0
11/20,7/20,11400,1140000,62.212597131729126,3398.9469604492188,172.0120378434658,490.60867689549923,0.0
11/20,8/20,11450,1145000,63.558693170547485,3381.555643081665,171.37648260593414,471.87928426265717,0.0
11/20,9/20,11500,1150000,72.55691409111023,3368.888925552368,171.5374327749014,466.75021217763424,0.0
11/20,10/20,11550,1155000,77.19951486587524,3408.467874765396,171.69037440419197,492.17548932135105,0.0
11/20,11/20,11600,1160000,64.72152209281921,3427.336466550827,170.63190464675426,464.13264551758766,0.0
11/20,12/20,11650,1165000,65.19763588905334,3477.121864795685,172.41472809016705,481.2422325313091,0.0
11/20,13/20,11700,1170000,66.65193009376526,3490.785124540329,170.247279047966,454.450561106205,0.0
11/20,14/20,11750,1175000,66.40962719917297,3496.9396047592163,171.8361455798149,490.54617907106876,0.0
11/20,15/20,11800,1180000,62.365411043167114,3515.9680485725403,171.50378443300724,507.47597782313824,0.04
11/20,16/20,11850,1185000,67.60263109207153,3510.4569680690765,177.17080435156822,516.4010721296072,0.0
11/20,17/20,11900,1190000,71.37715101242065,3507.8493514060974,176.88614210486412,506.5583739578724,0.02
11/20,18/20,11950,1195000,79.8105788230896,3537.862114906311,175.07542687654495,468.6145343333483,0.48
11/20,19/20,12000,1200000,77.2189269065857,3589.0441019535065,176.5749889612198,478.78658801317215,0.09
