Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
1/20,10/20,1550,77500,32.86797285079956,1456.06372153759,144.64597659558058,14.444411219563335,0.99
1/20,11/20,1600,80000,34.372705936431885,1452.2881938815117,143.84384881705046,14.961862064898014,1.0
1/20,12/20,1650,82500,33.63923501968384,1435.8200907707214,143.10029127448797,14.969264559447765,1.0
1/20,13/20,1700,85000,31.132255792617798,1425.7892349362373,141.94157906621695,15.952891303692013,1.0
1/20,14/20,1750,87500,29.39032793045044,1415.1215792298317,142.3714930266142,14.481017220765352,0.98
1/20,15/20,1800,90000,31.08125329017639,1418.7950744628906,142.37686458975077,15.076591508928686,1.0
1/20,16/20,1850,92500,31.772927045822144,1406.2706936597824,140.31587747484446,14.567760944366455,0.99
1/20,17/20,1900,95000,32.64336800575256,1403.016544342041,141.71433578431606,14.807879587635398,1.0
1/20,18/20,1950,97500,36.29518699645996,1383.9033683538437,140.00335711240768,15.566880143247545,1.0
1/20,19/20,2000,100000,37.32322287559509,1385.291496038437,139.08282861858606,15.360327318776399,0.99
2/20,0/20,2050,102500,37.5705680847168,1386.5193318724632,139.63760884851217,14.840808090288192,1.0
2/20,1/20,2100,105000,36.178324937820435,1383.9343707561493,138.27505781501532,14.793275438714772,0.99
2/20,2/20,2150,107500,34.17620801925659,1365.0031642317772,138.25248363614082,14.778396031353623,1.0
2/20,3/20,2200,110000,30.440888166427612,1372.0718332529068,137.31864023953676,15.884290037676692,1.0
2/20,4/20,2250,112500,29.4370539188385,1372.418633401394,137.31545135378838,14.005330142565072,1.0
2/20,5/20,2300,115000,29.326585054397583,1366.4100513458252,136.36399314552546,15.398691369686276,1.0
2/20,6/20,2350,117500,41.020617961883545,1348.8965151906013,135.64007460325956,14.137749240966514,1.0
2/20,7/20,2400,120000,29.346693754196167,1349.1204341053963,136.39529079943895,14.411121143493801,1.0
2/20,8/20,2450,122500,29.058066844940186,1347.164976477623,136.44939836859703,14.33931995043531,0.99
2/20,9/20,2500,125000,33.35914611816406,1345.8430886268616,135.00441075861454,14.727388948202133,1.0
2/20,10/20,2550,127500,31.778141260147095,1338.3673886656761,134.28687384724617,14.801809092517942,1.0
2/20,11/20,2600,130000,29.218925714492798,1347.008906185627,133.44701155275106,13.933639148715883,1.0
2/20,12/20,2650,132500,47.25865292549133,1324.7925696969032,133.72550854086876,14.413890287745744,1.0
2/20,13/20,2700,135000,81.74562573432922,1331.6735107302666,134.06569081544876,14.479400601703674,1.0
2/20,14/20,2750,137500,86.22950720787048,1327.4012504816055,133.46523346751928,14.185806432040408,1.0
2/20,15/20,2800,140000,39.50338912010193,1312.222466826439,131.98968970030546,14.599644608329982,0.99
2/20,16/20,2850,142500,34.39661478996277,1315.6778232455254,131.65624449402094,14.522627932718024,1.0
2/20,17/20,2900,145000,29.593771934509277,1308.6082701086998,131.5549639761448,14.04922165768221,1.0
2/20,18/20,2950,147500,34.48562979698181,1313.3453716039658,130.99813474714756,14.956065970938653,0.99
2/20,19/20,3000,150000,29.419816970825195,1307.9290834069252,131.39057175815105,14.59915790008381,1.0
3/20,0/20,3050,152500,46.782517194747925,1306.1860253214836,131.82390785962343,14.58199474029243,1.0
3/20,1/20,3100,155000,55.005199909210205,1303.3238171935081,131.24972504377365,14.25598221970722,1.0
3/20,2/20,3150,157500,57.25325894355774,1291.405363380909,128.88272830098867,14.658691943623126,1.0
3/20,3/20,3200,160000,40.22868227958679,1304.522677063942,128.87312518060207,14.365933239459991,0.99
3/20,4/20,3250,162500,97.77394580841064,1296.9141638875008,130.16332943737507,14.331462721573189,1.0
3/20,5/20,3300,165000,77.22859406471252,1296.375595152378,128.7497478723526,14.314252119511366,0.99
3/20,6/20,3350,167500,34.37386703491211,1299.759929060936,129.08654583990574,14.059207155834883,1.0
3/20,7/20,3400,170000,54.291691064834595,1293.9003596305847,128.18662942945957,13.654379349201918,0.99
3/20,8/20,3450,172500,29.820251941680908,1289.8858514428139,128.7336167395115,15.029011338716373,0.99
3/20,9/20,3500,175000,28.82049584388733,1308.1904886960983,128.18703547865152,13.978677747771144,1.0
3/20,10/20,3550,177500,32.52927589416504,1307.6334481835365,129.17173327505589,14.674639847129583,1.0
3/20,11/20,3600,180000,37.85942101478577,1298.3030801415443,128.02126087993383,14.181247523520142,1.0
3/20,12/20,3650,182500,28.915669202804565,1287.1492722034454,128.58904484659433,14.726862088777125,1.0
3/20,13/20,3700,185000,62.764623165130615,1291.561833202839,127.68393898755312,14.51379248732701,1.0
3/20,14/20,3750,187500,41.695096015930176,1282.807198047638,126.97134614735842,16.13783234031871,1.0
3/20,15/20,3800,190000,84.7439353466034,1283.8035573363304,126.96996831148863,14.474869814235717,0.99
3/20,16/20,3850,192500,72.770259141922,1283.6817770004272,126.74619490653276,16.3893694258295,1.0
3/20,17/20,3900,195000,60.13438105583191,1274.0228145122528,126.6190809905529,15.218933604191989,0.99
3/20,18/20,3950,197500,68.48988604545593,1281.7450102567673,127.22938612103462,15.816512382822111,1.0
3/20,19/20,4000,200000,34.65882420539856,1277.1967218518257,126.96067557483912,14.672535676509142,1.0
4/20,0/20,4050,202500,29.10107398033142,1264.7108960747719,126.29800503700972,14.584192158654332,0.98
4/20,1/20,4100,205000,28.7829008102417,1274.0857238769531,126.33925071358681,15.568066387437284,0.99
4/20,2/20,4150,207500,53.30082988739014,1275.769784450531,127.2922858223319,13.922577750170603,1.0
4/20,3/20,4200,210000,36.80193901062012,1270.2944294214249,125.99637228250504,14.131630261428654,1.0
4/20,4/20,4250,212500,30.090572118759155,1265.1874564290047,126.68931672722101,14.469569090986624,0.99
4/20,5/20,4300,215000,32.44578409194946,1264.474698960781,124.98606496304274,14.54789480054751,0.99
4/20,6/20,4350,217500,33.49111890792847,1270.8324446082115,125.56955394893885,14.486527842935175,0.98
4/20,7/20,4400,220000,33.03651285171509,1256.920702278614,123.86744393408298,14.126818113494664,1.0
4/20,8/20,4450,222500,31.68256902694702,1257.705321252346,125.67197223007679,13.557138317730278,0.99
4/20,9/20,4500,225000,29.276462078094482,1260.3280851244926,123.13366090506315,14.351782898884267,1.0
4/20,10/20,4550,227500,39.19373607635498,1257.5624133348465,123.93972557038069,13.766775098163635,0.99
4/20,11/20,4600,230000,42.12852501869202,1249.927718102932,124.11699303239584,14.818201719317585,0.99
4/20,12/20,4650,232500,43.434412717819214,1248.5676397681236,123.37729285657406,14.13158664572984,1.0
4/20,13/20,4700,235000,29.867796897888184,1260.1806131005287,124.6866807565093,13.700073728337884,1.0
4/20,14/20,4750,237500,40.63772630691528,1256.476234138012,123.93382952362299,14.450488995295018,1.0
