Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
1/20,3/20,1200,120000,207.95776104927063,1722.6272468566895,98.26620100066066,206.56221111863852,0.0
1/20,4/20,1250,125000,198.34776496887207,1636.5315924882889,98.56514742970467,212.59393850713968,0.0
1/20,5/20,1300,130000,198.66805505752563,1593.2332486510277,94.35104337707162,195.48185083270073,0.0
1/20,6/20,1350,135000,206.42625093460083,1575.9182905554771,91.73243489861488,187.0953728929162,0.0
1/20,7/20,1400,140000,217.35796523094177,1541.6728125810623,90.91484205052257,194.7651790678501,0.0
1/20,8/20,1450,145000,210.0112898349762,1518.1374432444572,89.94561094418168,184.36802454292774,0.0
1/20,9/20,1500,150000,198.51638913154602,1491.2592603564262,90.58453103899956,185.2107590585947,0.0
1/20,10/20,1550,155000,212.46357417106628,1457.0794164538383,89.25378541648388,194.14582586288452,0.0
1/20,11/20,1600,160000,259.2182528972626,1433.237543106079,91.46913108602166,183.56271170824766,0.0
1/20,12/20,1650,165000,236.6709439754486,1424.0639106035233,90.4300178065896,186.8553113117814,0.0
1/20,13/20,1700,170000,235.25992798805237,1397.60420525074,90.48895141482353,187.28244795277715,0.0
1/20,14/20,1750,175000,241.34552597999573,1400.2149075865746,87.63152607530355,194.25901102274656,0.0
1/20,15/20,1800,180000,242.05729293823242,1385.7331939339638,88.29925088584423,191.6279123723507,0.0
1/20,16/20,1850,185000,215.72977209091187,1349.1856129169464,86.22900819405913,187.89296178892255,0.0
1/20,17/20,1900,190000,211.37144422531128,1306.7926570773125,84.14628301933408,183.09563426673412,0.0
1/20,18/20,1950,195000,221.4957251548767,1288.513588488102,82.5013830922544,176.16542891412973,0.0
1/20,19/20,2000,200000,216.5204141139984,1261.4753462076187,82.28908215090632,166.47884041443467,0.0
2/20,0/20,2050,205000,213.45609188079834,1247.219787478447,82.0266960375011,165.03689938783646,0.0
2/20,1/20,2100,210000,192.17647218704224,1240.586871623993,80.58875908702612,161.18117635324597,0.0
