Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
0/20,0/20,50,2500,5.733189105987549,,,,0.02
0/20,1/20,100,5000,5.839345216751099,,,,0.04
0/20,2/20,150,7500,5.807350158691406,,,,0.03
0/20,3/20,200,10000,6.779246091842651,11.760722033679485,0.11845138249918818,5.834828168153763,0.03
0/20,4/20,250,12500,29.9960880279541,1135.937817633152,92.0597240695497,49.28862573206425,0.99
0/20,5/20,300,15000,30.72529888153076,1299.4758019447327,200.00892640650272,22.48991343099624,1.0
